Features: 16,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),
"Nu: 0.5, Gamma: 0.0625",94277,156,0,0,99.83480351148434,
"Nu: 0.5, Gamma: 0.1",94277,156,0,0,99.83480351148434,
"Nu: 0.5, Gamma: 0.2",94277,156,0,0,99.83480351148434,
"Nu: 0.5, Gamma: 0.5",94277,156,0,0,99.83480351148434,
"Nu: 0.5, Gamma: 0.7",94277,156,0,0,99.83480351148434,
"Nu: 0.5, Gamma: 0.9",94277,156,0,0,99.83480351148434,
"Nu: 0.5, Gamma: 0.99",94277,156,0,0,99.83480351148434,
"Nu: 0.7, Gamma: 0.05",94045,151,232,5,99.59442144165705,
"Nu: 0.7, Gamma: 0.0625",94277,156,0,0,99.83480351148434,
"Nu: 0.7, Gamma: 0.1",94277,156,0,0,99.83480351148434,
"Nu: 0.7, Gamma: 0.2",94045,151,232,5,99.59442144165705,
"Nu: 0.7, Gamma: 0.5",94045,151,232,5,99.59442144165705,
"Nu: 0.7, Gamma: 0.7",94045,151,232,5,99.59442144165705,
"Nu: 0.7, Gamma: 0.9",94045,151,232,5,99.59442144165705,
"Nu: 0.7, Gamma: 0.99",94045,151,232,5,99.59442144165705,
"Nu: 0.9, Gamma: 0.05",94045,151,232,5,99.59442144165705,
"Nu: 0.9, Gamma: 0.0625",94277,156,0,0,99.83480351148434,
"Nu: 0.9, Gamma: 0.1",94045,151,232,5,99.59442144165705,
"Nu: 0.9, Gamma: 0.2",94277,156,0,0,99.83480351148434,
"Nu: 0.9, Gamma: 0.5",94045,151,232,5,99.59442144165705,
"Nu: 0.9, Gamma: 0.7",94277,156,0,0,99.83480351148434,
"Nu: 0.9, Gamma: 0.9",94277,156,0,0,99.83480351148434,
"Nu: 0.9, Gamma: 0.99",94277,156,0,0,99.83480351148434,
"Nu: 0.99, Gamma: 0.05",94277,156,0,0,99.83480351148434,
"Nu: 0.99, Gamma: 0.0625",94277,156,0,0,99.83480351148434,
"Nu: 0.99, Gamma: 0.1",94277,156,0,0,99.83480351148434,
"Nu: 0.99, Gamma: 0.2",94277,156,0,0,99.83480351148434,
"Nu: 0.99, Gamma: 0.5",94277,156,0,0,99.83480351148434,
"Nu: 0.99, Gamma: 0.7",94277,156,0,0,99.83480351148434,
"Nu: 0.99, Gamma: 0.9",94277,156,0,0,99.83480351148434,
"Nu: 0.99, Gamma: 0.99",94277,156,0,0,99.83480351148434,
,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",92133,362,0,8,99.60866134071328,
"Nu: 0.05, Gamma: 0.0625",91869,365,264,5,99.3200220533388,
"Nu: 0.05, Gamma: 0.1",91869,368,264,2,99.31677891527842,
"Nu: 0.05, Gamma: 0.2",91869,369,264,1,99.31569786925829,
"Nu: 0.05, Gamma: 0.5",92133,370,0,0,99.60001297255225,
"Nu: 0.05, Gamma: 0.7",91869,369,264,1,99.31569786925829,
"Nu: 0.05, Gamma: 0.9",91869,369,264,1,99.31569786925829,
"Nu: 0.05, Gamma: 0.99",91869,369,264,1,99.31569786925829,
"Nu: 0.0625, Gamma: 0.05",91869,361,264,9,99.32434623741932,
"Nu: 0.0625, Gamma: 0.0625",92133,365,0,5,99.60541820265288,
"Nu: 0.0625, Gamma: 0.1",91869,368,264,2,99.31677891527842,
"Nu: 0.0625, Gamma: 0.2",92133,370,0,0,99.60001297255225,
"Nu: 0.0625, Gamma: 0.5",92133,370,0,0,99.60001297255225,
"Nu: 0.0625, Gamma: 0.7",92133,370,0,0,99.60001297255225,
"Nu: 0.0625, Gamma: 0.9",92133,370,0,0,99.60001297255225,
"Nu: 0.0625, Gamma: 0.99",92133,370,0,0,99.60001297255225,
"Nu: 0.1, Gamma: 0.05",92133,362,0,8,99.60866134071328,
"Nu: 0.1, Gamma: 0.0625",91869,365,264,5,99.3200220533388,
"Nu: 0.1, Gamma: 0.1",92133,369,0,1,99.60109401857237,
"Nu: 0.1, Gamma: 0.2",91869,369,264,1,99.31569786925829,
"Nu: 0.1, Gamma: 0.5",91869,369,264,1,99.31569786925829,
"Nu: 0.1, Gamma: 0.7",91869,369,264,1,99.31569786925829,
"Nu: 0.1, Gamma: 0.9",91869,369,264,1,99.31569786925829,
"Nu: 0.1, Gamma: 0.99",91869,369,264,1,99.31569786925829,
"Nu: 0.2, Gamma: 0.05",92133,362,0,8,99.60866134071328,
"Nu: 0.2, Gamma: 0.0625",92133,366,0,4,99.60433715663277,
"Nu: 0.2, Gamma: 0.1",92133,369,0,1,99.60109401857237,
"Nu: 0.2, Gamma: 0.2",91869,369,264,1,99.31569786925829,
"Nu: 0.2, Gamma: 0.5",91869,369,264,1,99.31569786925829,
"Nu: 0.2, Gamma: 0.7",91869,369,264,1,99.31569786925829,
"Nu: 0.2, Gamma: 0.9",92133,370,0,0,99.60001297255225,
"Nu: 0.2, Gamma: 0.99",92133,370,0,0,99.60001297255225,
"Nu: 0.5, Gamma: 0.05",92133,362,0,8,99.60866134071328,
"Nu: 0.5, Gamma: 0.0625",91869,365,264,5,99.3200220533388,
"Nu: 0.5, Gamma: 0.1",92133,369,0,1,99.60109401857237,
"Nu: 0.5, Gamma: 0.2",91869,369,264,1,99.31569786925829,
"Nu: 0.5, Gamma: 0.5",91869,369,264,1,99.31569786925829,
"Nu: 0.5, Gamma: 0.7",91869,369,264,1,99.31569786925829,
"Nu: 0.5, Gamma: 0.9",92133,370,0,0,99.60001297255225,
"Nu: 0.5, Gamma: 0.99",92133,370,0,0,99.60001297255225,
"Nu: 0.7, Gamma: 0.05",91869,361,264,9,99.32434623741932,
"Nu: 0.7, Gamma: 0.0625",92133,366,0,4,99.60433715663277,
"Nu: 0.7, Gamma: 0.1",92133,369,0,1,99.60109401857237,
"Nu: 0.7, Gamma: 0.2",92133,370,0,0,99.60001297255225,
"Nu: 0.7, Gamma: 0.5",91869,369,264,1,99.31569786925829,
"Nu: 0.7, Gamma: 0.7",91869,369,264,1,99.31569786925829,
"Nu: 0.7, Gamma: 0.9",91869,369,264,1,99.31569786925829,
"Nu: 0.7, Gamma: 0.99",92133,370,0,0,99.60001297255225,
"Nu: 0.9, Gamma: 0.05",92133,362,0,8,99.60866134071328,
"Nu: 0.9, Gamma: 0.0625",92133,366,0,4,99.60433715663277,
"Nu: 0.9, Gamma: 0.1",91869,368,264,2,99.31677891527842,
"Nu: 0.9, Gamma: 0.2",92133,370,0,0,99.60001297255225,
"Nu: 0.9, Gamma: 0.5",92133,370,0,0,99.60001297255225,
"Nu: 0.9, Gamma: 0.7",92133,370,0,0,99.60001297255225,
"Nu: 0.9, Gamma: 0.9",92133,370,0,0,99.60001297255225,
"Nu: 0.9, Gamma: 0.99",92133,370,0,0,99.60001297255225,
"Nu: 0.99, Gamma: 0.05",91869,366,264,4,99.31894100731868,
"Nu: 0.99, Gamma: 0.0625",92133,367,0,3,99.60325611061262,
"Nu: 0.99, Gamma: 0.1",91869,368,264,2,99.31677891527842,
"Nu: 0.99, Gamma: 0.2",91869,369,264,1,99.31569786925829,
"Nu: 0.99, Gamma: 0.5",92133,370,0,0,99.60001297255225,
"Nu: 0.99, Gamma: 0.7",92133,370,0,0,99.60001297255225,
"Nu: 0.99, Gamma: 0.9",91869,369,264,1,99.31569786925829,
"Nu: 0.99, Gamma: 0.99",91869,369,264,1,99.31569786925829,
,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95237,60,0,0,99.93703894141474,
"Nu: 0.05, Gamma: 0.0625",95237,60,0,0,99.93703894141474,
"Nu: 0.05, Gamma: 0.1",94973,58,264,2,99.66210898559241,
"Nu: 0.05, Gamma: 0.2",94973,58,264,2,99.66210898559241,
"Nu: 0.05, Gamma: 0.5",94973,58,264,2,99.66210898559241,
"Nu: 0.05, Gamma: 0.7",94973,58,264,2,99.66210898559241,
"Nu: 0.05, Gamma: 0.9",94973,58,264,2,99.66210898559241,
"Nu: 0.05, Gamma: 0.99",94973,58,264,2,99.66210898559241,
"Nu: 0.0625, Gamma: 0.05",95237,60,0,0,99.93703894141474,
"Nu: 0.0625, Gamma: 0.0625",95237,60,0,0,99.93703894141474,
"Nu: 0.0625, Gamma: 0.1",95237,60,0,0,99.93703894141474,
"Nu: 0.0625, Gamma: 0.2",95237,60,0,0,99.93703894141474,
"Nu: 0.0625, Gamma: 0.5",95237,60,0,0,99.93703894141474,
"Nu: 0.0625, Gamma: 0.7",95237,60,0,0,99.93703894141474,
"Nu: 0.0625, Gamma: 0.9",95237,60,0,0,99.93703894141474,
"Nu: 0.0625, Gamma: 0.99",95237,60,0,0,99.93703894141474,
"Nu: 0.1, Gamma: 0.05",94973,58,264,2,99.66210898559241,
"Nu: 0.1, Gamma: 0.0625",94973,58,264,2,99.66210898559241,
"Nu: 0.1, Gamma: 0.1",94973,58,264,2,99.66210898559241,
"Nu: 0.1, Gamma: 0.2",94973,58,264,2,99.66210898559241,
"Nu: 0.1, Gamma: 0.5",94973,58,264,2,99.66210898559241,
"Nu: 0.1, Gamma: 0.7",94973,58,264,2,99.66210898559241,
"Nu: 0.1, Gamma: 0.9",94973,58,264,2,99.66210898559241,
"Nu: 0.1, Gamma: 0.99",94973,58,264,2,99.66210898559241,
"Nu: 0.2, Gamma: 0.05",94973,58,264,2,99.66210898559241,
"Nu: 0.2, Gamma: 0.0625",94973,58,264,2,99.66210898559241,
"Nu: 0.2, Gamma: 0.1",94973,58,264,2,99.66210898559241,
"Nu: 0.2, Gamma: 0.2",95237,60,0,0,99.93703894141474,
"Nu: 0.2, Gamma: 0.5",95237,60,0,0,99.93703894141474,
"Nu: 0.2, Gamma: 0.7",95237,60,0,0,99.93703894141474,
"Nu: 0.2, Gamma: 0.9",95237,60,0,0,99.93703894141474,
"Nu: 0.2, Gamma: 0.99",95237,60,0,0,99.93703894141474,
"Nu: 0.5, Gamma: 0.05",94973,58,264,2,99.66210898559241,
"Nu: 0.5, Gamma: 0.0625",94973,58,264,2,99.66210898559241,
"Nu: 0.5, Gamma: 0.1",94973,58,264,2,99.66210898559241,
"Nu: 0.5, Gamma: 0.2",94973,58,264,2,99.66210898559241,
"Nu: 0.5, Gamma: 0.5",94973,58,264,2,99.66210898559241,
"Nu: 0.5, Gamma: 0.7",94973,58,264,2,99.66210898559241,
"Nu: 0.5, Gamma: 0.9",94973,58,264,2,99.66210898559241,
"Nu: 0.5, Gamma: 0.99",94973,58,264,2,99.66210898559241,
"Nu: 0.7, Gamma: 0.05",95237,60,0,0,99.93703894141474,
"Nu: 0.7, Gamma: 0.0625",95237,60,0,0,99.93703894141474,
"Nu: 0.7, Gamma: 0.1",95237,60,0,0,99.93703894141474,
"Nu: 0.7, Gamma: 0.2",95237,60,0,0,99.93703894141474,
"Nu: 0.7, Gamma: 0.5",94973,58,264,2,99.66210898559241,
"Nu: 0.7, Gamma: 0.7",94973,58,264,2,99.66210898559241,
"Nu: 0.7, Gamma: 0.9",94973,58,264,2,99.66210898559241,
"Nu: 0.7, Gamma: 0.99",94973,58,264,2,99.66210898559241,
"Nu: 0.9, Gamma: 0.05",94973,58,264,2,99.66210898559241,
"Nu: 0.9, Gamma: 0.0625",94973,58,264,2,99.66210898559241,
"Nu: 0.9, Gamma: 0.1",94973,58,264,2,99.66210898559241,
"Nu: 0.9, Gamma: 0.2",94973,58,264,2,99.66210898559241,
"Nu: 0.9, Gamma: 0.5",94973,58,264,2,99.66210898559241,
"Nu: 0.9, Gamma: 0.7",94973,58,264,2,99.66210898559241,
"Nu: 0.9, Gamma: 0.9",94973,58,264,2,99.66210898559241,
"Nu: 0.9, Gamma: 0.99",94973,58,264,2,99.66210898559241,
"Nu: 0.99, Gamma: 0.05",95237,60,0,0,99.93703894141474,
"Nu: 0.99, Gamma: 0.0625",95237,60,0,0,99.93703894141474,
"Nu: 0.99, Gamma: 0.1",95237,60,0,0,99.93703894141474,
"Nu: 0.99, Gamma: 0.2",95237,60,0,0,99.93703894141474,
"Nu: 0.99, Gamma: 0.5",95237,60,0,0,99.93703894141474,
"Nu: 0.99, Gamma: 0.7",95237,60,0,0,99.93703894141474,
"Nu: 0.99, Gamma: 0.9",95237,60,0,0,99.93703894141474,
"Nu: 0.99, Gamma: 0.99",95237,60,0,0,99.93703894141474,
,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.05, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.05, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.05, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.05, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.05, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.05, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.05, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.0625, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.0625, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.0625, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.0625, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.0625, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.0625, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.0625, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.0625, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.1, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.1, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.1, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.1, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.1, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.1, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.1, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.1, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.2, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.2, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.2, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.2, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.2, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.2, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.2, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.2, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.5, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.5, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.5, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.5, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.5, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.5, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.5, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.5, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.7, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.9, Gamma: 0.99",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.05",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.0625",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.1",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.2",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.5",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.7",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.9",95333,50,0,0,99.94757975739913,
"Nu: 0.99, Gamma: 0.99",95333,50,0,0,99.94757975739913,
,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.1",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.2",93085,247,264,1,99.45404233041657,
"Nu: 0.05, Gamma: 0.5",93085,247,264,1,99.45404233041657,
"Nu: 0.05, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.05, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.0625, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.0625, Gamma: 0.0625",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.2",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.5",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.0625, Gamma: 0.9",93085,247,264,1,99.45404233041657,
"Nu: 0.0625, Gamma: 0.99",93085,247,264,1,99.45404233041657,
"Nu: 0.1, Gamma: 0.05",93085,247,264,1,99.45404233041657,
"Nu: 0.1, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.1",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.2",93085,247,264,1,99.45404233041657,
"Nu: 0.1, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.1, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.2, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.2, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.05",93085,247,264,1,99.45404233041657,
"Nu: 0.5, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.5, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.5, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.7, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.7, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.05",93085,247,264,1,99.45404233041657,
"Nu: 0.9, Gamma: 0.0625",93085,247,264,1,99.45404233041657,
"Nu: 0.9, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.9, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.5",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.7",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.9",93349,248,0,0,99.73503424255051,
"Nu: 0.9, Gamma: 0.99",93349,248,0,0,99.73503424255051,
"Nu: 0.99, Gamma: 0.05",93349,248,0,0,99.73503424255051,
"Nu: 0.99, Gamma: 0.0625",93349,248,0,0,99.73503424255051,
"Nu: 0.99, Gamma: 0.1",93085,247,264,1,99.45404233041657,
"Nu: 0.99, Gamma: 0.2",93349,248,0,0,99.73503424255051,
"Nu: 0.99, Gamma: 0.5",93085,247,264,1,99.45404233041657,
"Nu: 0.99, Gamma: 0.7",93085,247,264,1,99.45404233041657,
"Nu: 0.99, Gamma: 0.9",93085,247,264,1,99.45404233041657,
"Nu: 0.99, Gamma: 0.99",93085,247,264,1,99.45404233041657,
,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.05, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.0625, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.1, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.2, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.5, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.7, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.9, Gamma: 0.99",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.05",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.0625",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.1",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.2",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.5",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.7",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.9",95317,52,0,0,99.94547494468853,
"Nu: 0.99, Gamma: 0.99",95317,52,0,0,99.94547494468853,
,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),
"Nu: 0.05, Gamma: 0.05",93957,188,0,0,99.80030803547719,
"Nu: 0.05, Gamma: 0.0625",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.1",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.2",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.5",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.7",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.9",93709,179,248,9,99.54644431462107,
"Nu: 0.05, Gamma: 0.99",93709,179,248,9,99.54644431462107,
