ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
1784,1220.0,1190.0,1245.0,1245.0,1263.0,1095.0,1140.0,1125.0,1115.0,1097.0,1481.0,4814.0,1355.0,1182.0,1410.0,raytrace
288,69.0,100.0,81.0,107.0,90.0,77.0,83.0,87.0,74.0,74.0,244.0,3970.0,155.0,97.0,95.0,raytrace
270,80.0,71.0,88.0,102.0,92.0,84.0,74.0,81.0,76.0,68.0,239.0,3565.0,140.0,81.0,90.0,raytrace
297,82.0,87.0,77.0,114.0,91.0,92.0,92.0,84.0,78.0,78.0,245.0,2820.0,161.0,82.0,73.0,raytrace
342,103.0,104.0,104.0,111.0,117.0,105.0,108.0,106.0,92.0,97.0,265.0,2913.0,182.0,105.0,97.0,raytrace
330,101.0,109.0,90.0,122.0,116.0,126.0,109.0,116.0,101.0,96.0,260.0,3226.0,182.0,99.0,91.0,raytrace
221,56.0,65.0,68.0,87.0,80.0,63.0,92.0,71.0,61.0,77.0,208.0,2835.0,150.0,76.0,76.0,raytrace
232,72.0,69.0,69.0,108.0,88.0,84.0,83.0,105.0,73.0,85.0,237.0,2806.0,165.0,86.0,72.0,raytrace
277,76.0,85.0,79.0,108.0,95.0,84.0,92.0,77.0,92.0,90.0,245.0,2823.0,169.0,91.0,94.0,raytrace
269,63.0,75.0,71.0,88.0,91.0,78.0,76.0,81.0,64.0,88.0,229.0,2765.0,164.0,86.0,84.0,raytrace
263,78.0,86.0,81.0,109.0,95.0,88.0,86.0,86.0,78.0,79.0,250.0,3697.0,161.0,106.0,95.0,raytrace
486,86.0,90.0,83.0,107.0,104.0,86.0,94.0,96.0,81.0,80.0,244.0,2607.0,198.0,102.0,84.0,raytrace
404,236.0,208.0,199.0,233.0,229.0,249.0,251.0,222.0,206.0,202.0,442.0,2769.0,390.0,195.0,254.0,raytrace
370,95.0,97.0,89.0,111.0,102.0,101.0,99.0,100.0,92.0,112.0,289.0,2935.0,171.0,146.0,114.0,raytrace
270,104.0,131.0,112.0,120.0,117.0,110.0,106.0,116.0,99.0,99.0,236.0,2742.0,209.0,111.0,142.0,raytrace
490,127.0,127.0,119.0,123.0,133.0,131.0,124.0,123.0,119.0,106.0,330.0,3223.0,243.0,157.0,118.0,raytrace
