Features: 16,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0003",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.0004",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.005",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.0625",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.1",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.2",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.5",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.7",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.9",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0001, Gamma: 0.99",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 1e-05",14949,44,0,19,99.70690114575007,0,40,
"Nu: 0.0002, Gamma: 2e-05",14949,62,0,1,99.58699706901146,0,40,
"Nu: 0.0002, Gamma: 3e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 4e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 5e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 6e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 7e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 8e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 9e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.0001",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.0002",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.0003",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.0004",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.005",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.0625",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.1",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.2",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.5",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.7",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.9",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0002, Gamma: 0.99",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 1e-05",14949,49,0,14,99.67359445776712,0,40,
"Nu: 0.0003, Gamma: 2e-05",14949,60,0,3,99.60031974420464,0,40,
"Nu: 0.0003, Gamma: 3e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 4e-05",14949,62,0,1,99.58699706901146,0,40,
"Nu: 0.0003, Gamma: 5e-05",14949,62,0,1,99.58699706901146,0,40,
"Nu: 0.0003, Gamma: 6e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 7e-05",14949,61,0,2,99.59365840660804,0,40,
"Nu: 0.0003, Gamma: 8e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 9e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.0001",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.0002",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.0003",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.0004",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.005",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.0625",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.1",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.2",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.5",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.7",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.9",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0003, Gamma: 0.99",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 1e-05",14949,45,0,18,99.70023980815348,0,40,
"Nu: 0.0004, Gamma: 2e-05",14949,59,0,4,99.60698108180122,0,40,
"Nu: 0.0004, Gamma: 3e-05",14949,59,0,4,99.60698108180122,0,40,
"Nu: 0.0004, Gamma: 4e-05",14949,62,0,1,99.58699706901146,0,40,
"Nu: 0.0004, Gamma: 5e-05",14949,62,0,1,99.58699706901146,0,40,
"Nu: 0.0004, Gamma: 6e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 7e-05",14949,61,0,2,99.59365840660804,0,40,
"Nu: 0.0004, Gamma: 8e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 9e-05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.0001",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.0002",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.0003",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.0004",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.005",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.0625",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.1",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.2",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.5",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.0004, Gamma: 0.7",14949,63,0,0,99.58033573141488,0,40,
