ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
2004,968.0,942.0,965.0,1823.0,1048.0,1331.0,954.0,1406.0,869.0,1309.0,1489.0,1392.0,1006.0,1599.0,875.0,fluidanimate
628,333.0,38.0,364.0,335.0,308.0,333.0,330.0,339.0,318.0,346.0,380.0,966.0,328.0,370.0,355.0,fluidanimate
912,468.0,5.0,428.0,538.0,524.0,488.0,432.0,441.0,475.0,440.0,450.0,590.0,521.0,570.0,459.0,fluidanimate
535,383.0,32.0,323.0,386.0,394.0,324.0,309.0,301.0,297.0,376.0,385.0,426.0,397.0,319.0,1306.0,fluidanimate
1243,445.0,23.0,497.0,539.0,512.0,457.0,422.0,467.0,475.0,534.0,464.0,492.0,548.0,510.0,486.0,fluidanimate
681,320.0,17.0,312.0,388.0,344.0,358.0,324.0,311.0,367.0,385.0,338.0,340.0,393.0,395.0,406.0,fluidanimate
1007,515.0,23.0,553.0,623.0,579.0,566.0,492.0,438.0,484.0,514.0,515.0,519.0,569.0,1071.0,545.0,fluidanimate
606,325.0,25.0,349.0,357.0,344.0,366.0,371.0,308.0,325.0,390.0,736.0,319.0,326.0,377.0,424.0,fluidanimate
960,445.0,32.0,464.0,543.0,559.0,555.0,478.0,500.0,531.0,476.0,559.0,1003.0,494.0,575.0,477.0,fluidanimate
553,332.0,37.0,296.0,312.0,411.0,325.0,334.0,322.0,311.0,291.0,358.0,332.0,299.0,738.0,348.0,fluidanimate
897,426.0,45.0,498.0,506.0,528.0,507.0,468.0,472.0,437.0,424.0,578.0,513.0,832.0,544.0,889.0,fluidanimate
807,305.0,35.0,313.0,331.0,337.0,306.0,541.0,262.0,318.0,289.0,362.0,325.0,328.0,326.0,345.0,fluidanimate
1001,1374.0,45.0,505.0,578.0,647.0,530.0,573.0,715.0,575.0,463.0,656.0,572.0,510.0,598.0,491.0,fluidanimate
664,345.0,20.0,374.0,338.0,428.0,343.0,398.0,313.0,421.0,440.0,433.0,406.0,372.0,322.0,375.0,fluidanimate
1035,487.0,55.0,562.0,573.0,626.0,1201.0,568.0,494.0,971.0,505.0,611.0,584.0,594.0,575.0,500.0,fluidanimate
560,335.0,41.0,862.0,372.0,403.0,358.0,398.0,360.0,335.0,580.0,370.0,387.0,361.0,330.0,376.0,fluidanimate
2039,1227.0,1038.0,1256.0,1413.0,1238.0,1294.0,1232.0,1595.0,1234.0,1367.0,1820.0,1405.0,1247.0,1484.0,1227.0,fluidanimate
653,253.0,63.0,212.0,230.0,235.0,237.0,232.0,268.0,229.0,296.0,203.0,1268.0,233.0,237.0,216.0,fluidanimate
815,394.0,8.0,337.0,344.0,389.0,374.0,306.0,319.0,328.0,336.0,313.0,425.0,393.0,448.0,340.0,fluidanimate
628,245.0,57.0,214.0,220.0,208.0,224.0,239.0,238.0,199.0,246.0,233.0,249.0,220.0,247.0,1106.0,fluidanimate
842,391.0,26.0,342.0,343.0,304.0,337.0,616.0,408.0,371.0,381.0,360.0,393.0,382.0,440.0,368.0,fluidanimate
593,233.0,17.0,234.0,193.0,159.0,225.0,252.0,201.0,232.0,256.0,207.0,194.0,242.0,251.0,247.0,fluidanimate
805,334.0,22.0,361.0,421.0,322.0,382.0,387.0,653.0,296.0,382.0,378.0,395.0,388.0,515.0,393.0,fluidanimate
635,194.0,86.0,233.0,1006.0,213.0,293.0,280.0,318.0,236.0,344.0,1295.0,255.0,240.0,310.0,264.0,fluidanimate
940,346.0,63.0,362.0,369.0,313.0,963.0,418.0,522.0,442.0,469.0,406.0,1197.0,352.0,515.0,430.0,fluidanimate
648,268.0,68.0,225.0,206.0,627.0,219.0,215.0,244.0,197.0,232.0,250.0,247.0,192.0,906.0,270.0,fluidanimate
821,371.0,64.0,450.0,385.0,404.0,420.0,376.0,425.0,383.0,361.0,489.0,446.0,913.0,460.0,1153.0,fluidanimate
769,189.0,47.0,213.0,207.0,229.0,234.0,995.0,224.0,175.0,248.0,225.0,195.0,214.0,226.0,233.0,fluidanimate
854,995.0,66.0,420.0,402.0,359.0,374.0,371.0,877.0,449.0,413.0,464.0,433.0,398.0,460.0,403.0,fluidanimate
625,212.0,24.0,250.0,182.0,230.0,215.0,194.0,222.0,218.0,490.0,219.0,222.0,210.0,213.0,210.0,fluidanimate
882,356.0,31.0,371.0,352.0,391.0,418.0,336.0,374.0,764.0,381.0,458.0,456.0,442.0,432.0,396.0,fluidanimate
615,180.0,33.0,492.0,180.0,201.0,269.0,193.0,258.0,216.0,585.0,218.0,227.0,282.0,236.0,208.0,fluidanimate
856,467.0,220.0,510.0,558.0,512.0,606.0,445.0,358.0,378.0,331.0,662.0,371.0,532.0,591.0,548.0,fluidanimate
316,74.0,23.0,120.0,180.0,155.0,426.0,114.0,69.0,66.0,100.0,149.0,254.0,131.0,128.0,130.0,fluidanimate
266,85.0,1.0,146.0,227.0,204.0,281.0,138.0,49.0,90.0,77.0,192.0,127.0,195.0,123.0,153.0,fluidanimate
269,90.0,17.0,123.0,178.0,163.0,207.0,111.0,52.0,90.0,74.0,122.0,91.0,106.0,88.0,341.0,fluidanimate
291,104.0,8.0,132.0,198.0,185.0,302.0,186.0,49.0,117.0,96.0,240.0,93.0,160.0,167.0,182.0,fluidanimate
271,80.0,6.0,122.0,118.0,128.0,290.0,105.0,43.0,132.0,99.0,149.0,62.0,132.0,148.0,121.0,fluidanimate
265,82.0,2.0,196.0,153.0,177.0,437.0,104.0,52.0,100.0,113.0,207.0,76.0,210.0,220.0,171.0,fluidanimate
294,69.0,19.0,116.0,228.0,115.0,339.0,63.0,41.0,68.0,96.0,332.0,56.0,105.0,146.0,115.0,fluidanimate
295,74.0,10.0,149.0,174.0,171.0,450.0,100.0,53.0,80.0,107.0,176.0,142.0,162.0,166.0,180.0,fluidanimate
240,85.0,13.0,116.0,141.0,209.0,236.0,76.0,52.0,64.0,81.0,92.0,88.0,89.0,259.0,109.0,fluidanimate
226,106.0,14.0,167.0,218.0,216.0,423.0,138.0,51.0,81.0,120.0,166.0,148.0,301.0,171.0,397.0,fluidanimate
287,76.0,6.0,122.0,157.0,147.0,243.0,167.0,32.0,65.0,88.0,131.0,88.0,110.0,125.0,135.0,fluidanimate
242,150.0,9.0,157.0,212.0,176.0,382.0,161.0,48.0,136.0,88.0,207.0,112.0,160.0,180.0,180.0,fluidanimate
267,86.0,8.0,121.0,133.0,109.0,273.0,103.0,43.0,75.0,116.0,153.0,75.0,112.0,125.0,127.0,fluidanimate
304,69.0,8.0,130.0,233.0,159.0,395.0,100.0,57.0,161.0,99.0,218.0,72.0,184.0,191.0,161.0,fluidanimate
288,59.0,8.0,136.0,196.0,123.0,326.0,85.0,48.0,55.0,189.0,159.0,46.0,108.0,118.0,125.0,fluidanimate
260,185.0,59.0,144.0,133.0,123.0,387.0,95.0,149.0,98.0,111.0,100.0,84.0,98.0,170.0,73.0,fluidanimate
97,19.0,11.0,50.0,20.0,20.0,209.0,15.0,9.0,6.0,23.0,16.0,10.0,16.0,20.0,16.0,fluidanimate
50,16.0,0.0,23.0,11.0,11.0,312.0,3.0,3.0,0.0,13.0,5.0,2.0,6.0,8.0,4.0,fluidanimate
67,20.0,3.0,24.0,16.0,16.0,161.0,12.0,5.0,5.0,30.0,10.0,9.0,14.0,15.0,14.0,fluidanimate
81,54.0,6.0,49.0,19.0,17.0,298.0,17.0,6.0,4.0,34.0,12.0,6.0,11.0,22.0,21.0,fluidanimate
75,25.0,3.0,18.0,15.0,14.0,188.0,13.0,7.0,3.0,21.0,11.0,5.0,14.0,16.0,14.0,fluidanimate
51,15.0,1.0,18.0,9.0,8.0,341.0,8.0,6.0,2.0,26.0,4.0,3.0,3.0,9.0,8.0,fluidanimate
